x,WaferMPW41_slot11_thinresist_strip_Chip1_WG1,WaferMPW41_slot11_thinresist_strip_Chip1_WG2,WaferMPW41_slot11_thinresist_strip_Chip1_WG3,WaferMPW41_slot11_thinresist_strip_Chip1_WG4,WaferMPW41_slot11_thinresist_strip_Chip1_WG5,WaferMPW41_slot11_thinresist_strip_Chip1_WG6,WaferMPW41_slot11_thinresist_strip_Chip33_WG1,WaferMPW41_slot11_thinresist_strip_Chip33_WG2,WaferMPW41_slot11_thinresist_strip_Chip33_WG3,WaferMPW41_slot11_thinresist_strip_Chip33_WG4,WaferMPW41_slot11_thinresist_strip_Chip33_WG5,WaferMPW41_slot11_thinresist_strip_Chip33_WG6
1529.8052,,,,,,,,,,2.037756275e-7,,
1529.815,,,,,,1.58886607e-7,,,,,,
1529.8155000000002,7.798433899e-7,,,,,,,,,,1.894692758e-7,
1529.8159,,,,,,,8.656633099e-7,,,,,
1529.816,,,,1.197201271e-7,,,,,,,,
1529.8161,,5.313257816e-7,,,,,,,,,,8.1268773e-8
1529.8162,,,3.847121093e-7,,,,,,,,,
1529.8166999999999,,,,,1.583502325e-7,,,,,,,
1529.8168,,,,,,,,5.83175165e-7,,,,
1529.8171000000002,,,,,,,,,3.25711369e-7,,,
1529.8173,,,,,,,,,,2.216599313e-7,,
1529.8253,,,,,,1.427903698e-7,,,,,,
1529.8255000000001,,,,,,,,,,,1.633576829e-7,
1529.826,7.583865909e-7,,,,,,,,,,,
1529.8261,,,,,,,8.585119531e-7,,,,,
1529.8263,,,,1.077367742e-7,,,,,,,,
1529.8265000000001,,,,,,,,,,,,8.46665316e-8
1529.8266,,5.313257816e-7,3.739837098e-7,,,,,,,,,
1529.8271,,,,,1.274108143e-7,,,,,,,
1529.8272000000002,,,,,,,,5.8138437e-7,,,,
1529.8273000000002,,,,,,,,,,2.391861642e-7,,
1529.8274000000001,,,,,,,,,3.060444556e-7,,,
1529.8332,,,,,,1.014777453e-7,,,,,,
1529.8335000000002,,,,,,,,,,,1.254426678e-7,
1529.8336000000002,8.191781262e-7,,,,,,,,,,,
1529.8342000000002,,,,1.13638599e-7,,,8.567220675e-7,,,,,
1529.8343,,,,,,,,,,,,1.009410298e-7
1529.8344,,5.152322728e-7,3.4716453e-7,,,,,,,,,
1529.8347,,,,,,,,5.903274314e-7,,,,
1529.8348,,,,,9.68273852e-8,,,,,,,
1529.8352,,,,,,,,,3.024683224e-7,2.522424154e-7,,
1529.8397,,,,,,1.279474162e-7,,,,,,
1529.8403,8.102359743e-7,,,,,,,,,,1.181096749e-7,
1529.8409000000001,,,,1.0272921e-7,,,,,,,,
1529.8410000000001,,,,,,,8.477862821e-7,,,,,8.91376075e-8
1529.8410999999999,,5.29535896e-7,,,,,,,,,,
1529.8413,,,3.149829695e-7,,,,,,,,,
1529.8415000000002,,,,,,,,5.938999266e-7,,,,
1529.8417,,,,,1.154274614e-7,,,,,,,
1529.8421,,,,,,,,,3.274976166e-7,2.577866951e-7,,
1529.8500000000001,,,,,,1.488714787e-7,,,,,,
1529.8505,7.51235234e-7,,,,,,,,,,1.819568496e-7,
1529.851,,,,7.07167018e-8,,,,,,,,1.000469965e-7
1529.8511,,5.062892114e-7,,,,,,,,,,
1529.8512,,,,,,,8.334826589e-7,,,,,
1529.8515,,,3.310737497e-7,,,,,,,,,
1529.8518,,,,,1.596014698e-7,,,,,,,
1529.852,,,,,,,,5.974787882e-7,,,,
1529.8522,,,,,,,,,3.811359761e-7,,,
1529.8523000000002,,,,,,,,,,2.211233294e-7,,
1529.8618000000001,,,,,,9.16414464e-8,,,,,,
1529.8623,,,,,,,,,,,1.454733791e-7,
1529.8626,7.583865909e-7,,,,,,,,,,,
1529.8629,,,,,,,,,,,,1.227596584e-7
1529.863,,,,1.114929873e-7,,,8.245395975e-7,,,,,
1529.8634,,5.134414778e-7,3.310737497e-7,,,,,,,,,
1529.8639,,,,,,,,5.956889026e-7,,,,
1529.864,,,,,1.256211561e-7,,,,4.186835554e-7,,,
1529.8641,,,,,,,,,,2.010926181e-7,,
1529.8727999999999,,,,,,1.41538905e-7,,,,,,
1529.8731,,,,,,,,,,,1.188254473e-7,
1529.8733000000002,7.959387176e-7,,,,,,,,,,,
1529.8737,,,,1.111347601e-7,,,,,,,,8.9852584e-8
1529.8739,,,,,,,8.191781262e-7,,,,,
1529.8741,,5.18804768e-7,3.578929295e-7,,,,,,,,,
1529.8745,,,,,1.002253711e-7,,,,,,,
1529.8746,,,,,,,,5.760219892e-7,,,,
1529.8748,,,,,,,,,4.11531289e-7,,,
1529.8749,,,,,,,,,,2.28992505e-7,,
1529.8827,,,,,,1.30272312e-7,,,,,,
1529.8831,,,,,,,,,,,1.327752415e-7,
1529.8835000000001,7.923589465e-7,,,,,,,,,,,
1529.8838,,,,1.449370046e-7,,,8.138157455e-7,,,,,
1529.8839,,,,,,,,,,,,1.165007788e-7
1529.8842,,,3.739837098e-7,,,,,,,,,
1529.8843,,5.384716815e-7,,,,,,,,,,
1529.8846,,,,,1.350996826e-7,,,5.59927571e-7,,,,
1529.8849,,,,,,,,,3.811359761e-7,,,
1529.8851000000002,,,,,,,,,,2.649393025e-7,,
1529.894,,,,,,1.034449824e-7,,,,,,
1529.8943,,,,,,,,,,,1.748027643e-7,
1529.895,8.066625696e-7,,,,,,,,,,,
1529.8952000000002,,,,1.07200286e-7,,,8.102359743e-7,,,,,
1529.8954,,,,,,,,,,,,1.079160583e-7
1529.8955,,5.724422181e-7,3.811359761e-7,,,,,,,,,
1529.896,,,,,1.528059528e-7,,,5.384716815e-7,,,,
1529.8962000000001,,,,,,,,,3.418021493e-7,,,
1529.8963,,,,,,,,,,2.474148175e-7,,
1529.9050000000002,,,,,,1.628213084e-7,,,,,,
1529.9051,,,,,,,,,,,1.172156416e-7,
1529.9057,7.762708947e-7,,,,,,8.030900744e-7,,,,,7.69759581e-8
1529.9059,,,,7.26839389e-8,,,,,,,,
1529.9063,,5.849577747e-7,,,,,,,,,,
1529.9064,,,3.68621329e-7,,,,,,,,,
1529.9065,,,,,1.055913899e-7,,,,,,,
1529.9067000000002,,,,,,,,5.170221584e-7,,,,
1529.9068,,,,,,,,,,2.243429407e-7,,
1529.9069,,,,,,,,,3.292875022e-7,,,
1529.915,,,,,,1.660409197e-7,,,,,,
1529.9151000000002,,,,,,,,,,,1.19182765e-7,
1529.9156,7.798433899e-7,,,,,,,,,,,
1529.9157,,,,,,,8.066625696e-7,,,,,
1529.9158,,,,1.034449824e-7,,,,,,,,9.73639871e-8
1529.9163,,,3.739837098e-7,,,,,,,,,
1529.9165,,6.046310546e-7,,,,,,,,,,
1529.9166,,,,,9.1284015e-8,,,,,,,
1529.9167,,,,,,,,5.205946536e-7,,,,
1529.9169000000002,,,,,,,,,,2.218381923e-7,,
1529.917,,,,,,,,,3.418021493e-7,,,
1529.9228,,,,,,9.75432712e-8,,,,,,
1529.9231000000002,,,,,,,,,,,1.488714787e-7,
1529.9236,8.281193686e-7,,,,,,,,,,,
1529.9238,,,,,,,,,,,,1.018351767e-7
1529.9239,,,,,,,7.995103033e-7,,,,,
1529.924,,,,9.27147639e-8,,,,,,,,
1529.9241000000002,,,3.614690627e-7,,,,,,,,,
1529.9243,,5.885375458e-7,,,,,,,,,,
1529.9243999999999,,,,,1.055913899e-7,,,5.152322728e-7,,,,
1529.9247,,,,,,,,,3.614690627e-7,,,
1529.9248000000002,,,,,,,,,,2.293506185e-7,,
1529.9299,,,,,,1.503012044e-7,,,,,,
1529.9301,,,,,,,,,,,1.892894232e-7,
1529.9308,8.245395975e-7,,,,,,,,,,,8.60972804e-8
1529.9309,,,,1.526276918e-7,,,,,,,,
1529.931,,,3.668314434e-7,,,,7.959387176e-7,,,,,
1529.9312,,6.010512834e-7,,,,,,,,,,
1529.9314000000002,,,,,,,,5.009277402e-7,,,,
1529.9315000000001,,,,,,,,,,2.572517985e-7,,
1529.9316000000001,,,,,1.576351423e-7,,,,3.596791771e-7,,,
1529.9396,,,,,,1.381410328e-7,,,,,1.284840181e-7,
1529.94,8.388450397e-7,,,,,,,,,,,
1529.9401000000003,,,,,,,,,,,,1.080951151e-7
1529.9403,,,,,,,7.977204177e-7,,,,,
1529.9404,,,3.793497285e-7,,,,,,,,,
1529.9405000000002,,,,1.120297028e-7,,,,,,,,
1529.9407,,5.974787882e-7,,,1.073793428e-7,,,5.009277402e-7,,,,
1529.9408,,,,,,,,,,2.719170595e-7,,
1529.9411,,,,,,,,,3.4716453e-7,,,
1529.9512,,,,,,9.73639871e-8,,,,,,
1529.9514000000001,,,,,,,,,,,1.401073604e-7,
1529.9521,8.227569879e-7,,,,,,,,,,,
1529.9522,,,,,,,7.905690609e-7,,,,,
1529.9524000000001,,,,7.94796833e-8,,,,,,,,
1529.9525,,,,,,,,,,,,1.046964471e-7
1529.9526,,,3.328636353e-7,,,,,,,,,
1529.9527,,6.064145737e-7,,,,,,,,,,
1529.9528,,,,,1.177522435e-7,,,,,,,
1529.9531000000002,,,,,,,,5.062892114e-7,,,,
1529.9532,,,,,,,,,3.239214834e-7,2.431223436e-7,,
1529.9616,,,,,,1.54415531e-7,,,,,,
1529.9619,,,,,,,,,,,1.578136306e-7,
1529.9622000000002,8.406349252e-7,,,,,,,,,,,
1529.9628,,,,,,,7.905690609e-7,,,,,8.07320575e-8
1529.9629,,,,8.87801761e-8,,,,,,,,
1529.9631000000002,,,3.060444556e-7,,,,,,,,,
1529.9633000000001,,6.064145737e-7,,,1.6049664e-7,,,,,,,
1529.9636,,,,,,,,5.116588682e-7,,,,
1529.9637,,,,,,,,,3.149829695e-7,2.239848271e-7,,
1529.9711,,,,,,1.232964877e-7,,,,,,
1529.9715,,,,,,,,,,,1.4583172e-7,
